id;province_id;name;code
229;15;Kabupaten Ponorogo;35.02
230;15;Kabupaten Trenggalek;35.03
231;15;Kabupaten Tulungagung;35.04
232;15;Kabupaten Blitar;35.05
233;15;Kabupaten Kediri;35.06
234;15;Kabupaten Malang;35.07
235;15;Kabupaten Lumajang;35.08
236;15;Kabupaten Jember;35.09
237;15;Kabupaten Banyuwangi;35.10
238;15;Kabupaten Bondowoso;35.11
239;15;Kabupaten Situbondo;35.12
240;15;Kabupaten Probolinggo;35.13
241;15;Kabupaten Pasuruan;35.14
242;15;Kabupaten Sidoarjo;35.15
243;15;Kabupaten Mojokerto;35.16
244;15;Kabupaten Jombang;35.17
245;15;Kabupaten Nganjuk;35.18
246;15;Kabupaten Madiun;35.19
247;15;Kabupaten Magetan;35.20
248;15;Kabupaten Ngawi;35.21
249;15;Kabupaten Bojonegoro;35.22
250;15;Kabupaten Tuban;35.23
251;15;Kabupaten Lamongan;35.24
252;15;Kabupaten Gresik;35.25
253;15;Kabupaten Bangkalan;35.26
254;15;Kabupaten Sampang;35.27
255;15;Kabupaten Pamekasan;35.28
256;15;Kabupaten Sumenep;35.29
257;15;Kota Kediri;35.71
258;15;Kota Blitar;35.72
259;15;Kota Malang;35.73
260;15;Kota Probolinggo;35.74
261;15;Kota Pasuruan;35.75
262;15;Kota Mojokerto;35.76
263;15;Kota Madiun;35.77
264;15;Kota Surabaya;35.78
265;15;Kota Batu;35.79
266;16;Kabupaten Pandeglang;36.01
267;16;Kabupaten Lebak;36.02
268;16;Kabupaten Tangerang;36.03
269;16;Kabupaten Serang;36.04
270;16;Kota Tangerang;36.71
271;16;Kota Cilegon;36.72
272;16;Kota Serang;36.73
273;16;Kota Tangerang Selatan;36.74
274;17;Kabupaten Jembrana;51.01
275;17;Kabupaten Tabanan;51.02
276;17;Kabupaten Badung;51.03
277;17;Kabupaten Gianyar;51.04
278;17;Kabupaten Klungkung;51.05
279;17;Kabupaten Bangli;51.06
280;17;Kabupaten Karangasem;51.07
281;17;Kabupaten Buleleng;51.08
282;17;Kota Denpasar;51.71
283;18;Kabupaten Lombok Barat;52.01
284;18;Kabupaten Lombok Tengah;52.02
285;18;Kabupaten Lombok Timur;52.03
286;18;Kabupaten Sumbawa;52.04
287;18;Kabupaten Dompu;52.05
288;18;Kabupaten Bima;52.06
289;18;Kabupaten Sumbawa Barat;52.07
290;18;Kabupaten Lombok Utara;52.08
291;18;Kota Mataram;52.71
292;18;Kota Bima;52.72
293;19;Kabupaten Kupang;53.01
294;19;Kabupaten Timor Tengah Selatan;53.02
295;19;Kabupaten Timor Tengah Utara;53.03
296;19;Kabupaten Belu;53.04
297;19;Kabupaten Alor;53.05
298;19;Kabupaten Flores Timur;53.06
299;19;Kabupaten Sikka;53.07
300;19;Kabupaten Ende;53.08
301;19;Kabupaten Ngada;53.09
302;19;Kabupaten Manggarai;53.10
303;19;Kabupaten Sumba Timur;53.11
304;19;Kabupaten Sumba Barat;53.12
305;19;Kabupaten Lembata;53.13
306;19;Kabupaten Rote Ndao;53.14
307;19;Kabupaten Manggarai Barat;53.15
308;19;Kabupaten Nagekeo;53.16
309;19;Kabupaten Sumba Tengah;53.17
310;19;Kabupaten Sumba Barat Daya;53.18
